sr3-rtx shape probe - world-space bounds of every draw near the camera, one frame
frame 1550, camera (96.3 147.7 36.1)
flat = smallest axis relative to the largest; a dish, cap or ring is very flat

 draw disp     verts  prims  size x/y/z             centre                    dist  flat  shader / why
    6 MARK     3931   6076   26.9/12.3/38.1         96/140/-9                 45.7  0.32  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   19 MARK     1369   30     56.2/4.4/20.1          98/145/13                 23.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   23 MARK     770    71     56.1/10.0/44.1         99/151/45                 10.0  0.18  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   24 MARK     317    68     56.1/2.4/20.1          98/146/13                 23.0  0.04  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   38 MARK     1369   1279   56.2/4.4/20.1          98/145/13                 23.1  0.08  ps='' rank=0 | prepass: shader samples nothing
   42 MARK     1369   20     56.2/4.4/20.1          98/145/13                 23.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   43 MARK     315    537    5.4/10.0/7.4           136/142/-78              121.3  0.53  ps='' rank=0 | prepass: shader samples nothing
   44 MARK     145    384    0.6/0.5/0.6            102/145/19                18.8  0.85  ps='' rank=0 | prepass: shader samples nothing
   45 MARK     145    384    0.6/0.5/0.6            105/145/19                19.6  0.85  ps='' rank=0 | prepass: shader samples nothing
   46 MARK     145    384    0.6/0.5/0.6            90/145/19                 18.7  0.85  ps='' rank=0 | prepass: shader samples nothing
   47 MARK     145    384    0.6/0.5/0.6            93/145/19                 18.1  0.85  ps='' rank=0 | prepass: shader samples nothing
   48 MARK     145    384    0.6/0.5/0.6            96/145/19                 17.8  0.85  ps='' rank=0 | prepass: shader samples nothing
   49 MARK     145    384    0.6/0.5/0.6            99/145/19                 18.1  0.85  ps='' rank=0 | prepass: shader samples nothing
   50 MARK     145    384    0.6/0.5/0.6            87/145/19                 20.0  0.85  ps='' rank=0 | prepass: shader samples nothing
   51 MARK     6278   116    41.7/7.7/33.2          104/150/50                16.3  0.18  ps='' rank=0 | prepass: shader samples nothing
   52 MARK     6278   9376   41.7/7.7/33.2          104/150/50                16.3  0.18  ps='' rank=0 | prepass: shader samples nothing
   53 MARK     6278   4139   41.7/7.7/33.2          104/150/50                16.3  0.18  ps='' rank=0 | prepass: shader samples nothing
   54 MARK     3306   1263   55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   56 MARK     1924   587    51.9/7.2/29.6          97/149/48                 12.4  0.14  ps='' rank=0 | prepass: shader samples nothing
   57 MARK     3306   13     55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   58 MARK     3306   189    55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   59 MARK     2974   83     47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   60 MARK     2974   8      47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   62 MARK     1369   744    56.2/4.4/20.1          98/145/13                 23.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   63 MARK     3306   141    55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   64 MARK     2974   12     47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   65 MARK     974    32     43.2/4.5/33.6          98/151/50                 14.9  0.10  ps='' rank=0 | prepass: shader samples nothing
   66 MARK     3306   843    55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   67 MARK     2974   287    47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   68 MARK     3306   80     55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   69 MARK     2974   42     47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   70 MARK     3306   314    55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   71 MARK     2974   792    47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   72 MARK     206    427    1.2/4.1/0.7            103/148/28                10.9  0.17  ps='' rank=0 | prepass: shader samples nothing
   73 MARK     3306   1076   55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   74 MARK     12     19     0.2/0.4/0.2            105/142/-5                42.3  0.62  ps='' rank=0 | prepass: shader samples nothing
   75 MARK     12     19     0.2/0.4/0.2            86/142/-5                 42.5  0.62  ps='' rank=0 | prepass: shader samples nothing
   76 MARK     12     19     0.2/0.4/0.2            105/142/-24               61.1  0.62  ps='' rank=0 | prepass: shader samples nothing
   77 MARK     12     19     0.2/0.4/0.2            86/142/-24                61.3  0.62  ps='' rank=0 | prepass: shader samples nothing
   78 MARK     202    321    0.9/0.2/0.2            98/146/3                  32.9  0.20  ps='' rank=0 | prepass: shader samples nothing
   79 MARK     202    321    0.9/0.2/0.2            93/146/3                  33.0  0.20  ps='' rank=0 | prepass: shader samples nothing
   80 MARK     202    321    0.9/0.2/0.2            101/149/23                13.7  0.21  ps='' rank=0 | prepass: shader samples nothing
   81 MARK     202    321    0.9/0.2/0.2            106/146/23                16.5  0.20  ps='' rank=0 | prepass: shader samples nothing
   82 MARK     202    321    0.9/0.2/0.2            92/149/23                 13.8  0.21  ps='' rank=0 | prepass: shader samples nothing
   83 MARK     202    321    0.9/0.2/0.2            109/146/7                 32.0  0.20  ps='' rank=0 | prepass: shader samples nothing
   84 MARK     202    321    0.9/0.2/0.2            105/146/7                 30.5  0.20  ps='' rank=0 | prepass: shader samples nothing
   85 MARK     202    321    0.9/0.2/0.2            90/146/8                  29.2  0.20  ps='' rank=0 | prepass: shader samples nothing
   86 MARK     202    321    0.9/0.2/0.2            85/146/8                  30.6  0.20  ps='' rank=0 | prepass: shader samples nothing
   87 MARK     1924   20     51.9/7.2/29.6          97/149/48                 12.4  0.14  ps='' rank=0 | prepass: shader samples nothing
   88 MARK     974    20     43.2/4.5/33.6          98/151/50                 14.9  0.10  ps='' rank=0 | prepass: shader samples nothing
   89 MARK     830    242    56.1/3.8/40.0          99/148/47                 11.3  0.07  ps='' rank=0 | prepass: shader samples nothing
   90 MARK     194    68     48.0/1.1/32.0          99/150/47                 11.6  0.02  ps='' rank=0 | prepass: shader samples nothing
   91 MARK     6278   284    41.7/7.7/33.2          104/150/50                16.3  0.18  ps='' rank=0 | prepass: shader samples nothing
   92 MARK     2974   2876   47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   93 MARK     222    315    52.9/22.3/49.1         98/8/32                  139.8  0.42  ps='' rank=0 | prepass: shader samples nothing
   95 MARK     830    294    56.1/3.8/40.0          99/148/47                 11.3  0.07  ps='' rank=0 | prepass: shader samples nothing
   96 MARK     194    82     48.0/1.1/32.0          99/150/47                 11.6  0.02  ps='' rank=0 | prepass: shader samples nothing
   97 MARK     770    132    56.1/10.0/44.1         99/151/45                 10.0  0.18  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   98 MARK     317    169    56.1/2.4/20.1          98/146/13                 23.0  0.04  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
   99 MARK     770    356    56.1/10.0/44.1         99/151/45                 10.0  0.18  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  100 MARK     317    245    56.1/2.4/20.1          98/146/13                 23.0  0.04  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  101 MARK     517    455    54.3/8.6/40.0          100/149/47                11.7  0.16  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  102 MARK     324    322    46.6/5.1/40.0          100/152/47                12.4  0.11  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  103 MARK     770    611    56.1/10.0/44.1         99/151/45                 10.0  0.18  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  104 MARK     517    362    54.3/8.6/40.0          100/149/47                11.7  0.16  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  105 MARK     324    172    46.6/5.1/40.0          100/152/47                12.4  0.11  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  106 MARK     3306   981    55.9/7.2/39.9          99/149/47                 11.4  0.13  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  107 MARK     2974   377    47.6/4.0/35.5          99/152/49                 14.1  0.08  ps='Normal_MapSampler' rank=0 | prepass: only normal/stipple/depth samplers
  581 MARK     312    440    52.6/7.6/28.5          98/150/42                  6.2  0.14  ps='' rank=0 | prepass: shader samples nothing
  582 MARK     830    236    56.1/3.8/40.0          99/148/47                 11.3  0.07  ps='' rank=0 | prepass: shader samples nothing
  583 MARK     194    31     48.0/1.1/32.0          99/150/47                 11.6  0.02  ps='' rank=0 | prepass: shader samples nothing
  585 MARK     1924   2398   51.9/7.2/29.6          97/149/48                 12.4  0.14  ps='' rank=0 | prepass: shader samples nothing
  586 MARK     974    1349   43.2/4.5/33.6          98/151/50                 14.9  0.10  ps='' rank=0 | prepass: shader samples nothing
  684 MARK     3506   695    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  686 MARK     2488   767    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  709 MARK     3506   653    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  710 MARK     2488   653    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  728 MARK     3506   14     41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  729 MARK     3506   308    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  730 MARK     2488   308    44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  731 MARK     2488   14     44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  772 MARK     1267   308    61.7/100.0/61.1        156/87/-83               146.6  0.61  ps='' rank=0 | prepass: shader samples nothing
  773 MARK     1209   507    62.0/237.5/62.1        51/156/-83               128.1  0.26  ps='' rank=0 | prepass: shader samples nothing
  848 MARK     1486   8      157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
  851 MARK     1486   1728   157.5/80.2/73.4        201/44/-178              260.2  0.47  ps='' rank=0 | prepass: shader samples nothing
  870 MARK     3506   524    41.5/164.7/41.6        52/88/-163               212.3  0.25  ps='' rank=0 | prepass: shader samples nothing
  871 MARK     2488   20     44.6/122.9/44.6        51/68/-210               262.4  0.36  ps='' rank=0 | prepass: shader samples nothing
  882 MARK     138    232    6.3/10.6/7.2           174/142/-101             157.5  0.59  ps='' rank=0 | prepass: shader samples nothing
  883 MARK     138    232    6.3/10.6/7.2           69/135/-224              261.9  0.59  ps='' rank=0 | prepass: shader samples nothing
